control_id,family,title,description
GV.OC-01,Govern: Organizational Context,Organizational mission understood,The organizational mission is understood and informs cybersecurity risk management.
GV.OC-02,Govern: Organizational Context,Stakeholder expectations understood,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered."
GV.OC-03,Govern: Organizational Context,Legal and regulatory requirements understood,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed."
GV.OC-04,Govern: Organizational Context,Critical objectives and services understood,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated."
GV.OC-05,Govern: Organizational Context,Dependencies understood,"Outcomes, capabilities, and services that the organization depends on are understood and communicated."
GV.RM-01,Govern: Risk Management Strategy,Risk management objectives agreed,Risk management objectives are established and agreed to by organizational stakeholders.
GV.RM-02,Govern: Risk Management Strategy,Risk appetite and tolerance established,"Risk appetite and risk tolerance statements are established, communicated, and maintained."
GV.RM-03,Govern: Risk Management Strategy,Risk management in enterprise processes,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes.
GV.RM-04,Govern: Risk Management Strategy,Risk response options communicated,Strategic direction that describes appropriate risk response options is established and communicated.
GV.RM-05,Govern: Risk Management Strategy,Risk communication lines established,Lines of communication across the organization are established for cybersecurity risks.
GV.RM-06,Govern: Risk Management Strategy,Risk characterization method standardized,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated."
GV.RM-07,Govern: Risk Management Strategy,Opportunities considered,Strategic opportunities (i.e. positive risks) are characterized and included in organizational cybersecurity risk discussions.
GV.RR-01,Govern: Roles Responsibilities and Authorities,Leadership accountability,Organizational leadership is responsible and accountable for cybersecurity risk and fosters a risk-aware culture.
GV.RR-02,Govern: Roles Responsibilities and Authorities,Roles and responsibilities established,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced."
GV.RR-03,Govern: Roles Responsibilities and Authorities,Resources allocated,"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies."
GV.RR-04,Govern: Roles Responsibilities and Authorities,Cybersecurity in HR,Cybersecurity is included in human resources practices.
GV.PO-01,Govern: Policy,Cybersecurity policy established,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced."
GV.PO-02,Govern: Policy,Cybersecurity policy maintained,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission."
GV.OV-01,Govern: Oversight,Strategy outcomes reviewed,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction.
GV.OV-02,Govern: Oversight,Strategy reviewed and adjusted,"The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks."
GV.OV-03,Govern: Oversight,Risk management performance evaluated,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed.
GV.SC-01,Govern: Cybersecurity Supply Chain Risk Management,Supply chain risk program established,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders."
GV.SC-02,Govern: Cybersecurity Supply Chain Risk Management,Supply chain roles established,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally."
GV.SC-03,Govern: Cybersecurity Supply Chain Risk Management,Supply chain risk integrated,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes."
GV.SC-04,Govern: Cybersecurity Supply Chain Risk Management,Suppliers prioritized,Suppliers are known and prioritized by criticality.
GV.SC-05,Govern: Cybersecurity Supply Chain Risk Management,Supply chain requirements established,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other third parties."
GV.SC-06,Govern: Cybersecurity Supply Chain Risk Management,Due diligence performed,"Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships."
GV.SC-07,Govern: Cybersecurity Supply Chain Risk Management,Supplier risks monitored,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship."
GV.SC-08,Govern: Cybersecurity Supply Chain Risk Management,Supply chain in incident planning,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities."
GV.SC-09,Govern: Cybersecurity Supply Chain Risk Management,Supply chain practices monitored,Supply chain security practices are integrated into cybersecurity and enterprise risk management programs and monitored throughout the technology product and service life cycle.
GV.SC-10,Govern: Cybersecurity Supply Chain Risk Management,Supply chain post-relationship plan,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement.
ID.AM-01,Identify: Asset Management,Hardware inventory maintained,Inventories of hardware managed by the organization are maintained.
ID.AM-02,Identify: Asset Management,Software inventory maintained,"Inventories of software, services, and systems managed by the organization are maintained."
ID.AM-03,Identify: Asset Management,Network communication maps maintained,Representations of the organization's authorized network communication and internal and external network data flows are maintained.
ID.AM-04,Identify: Asset Management,Services inventory maintained,Inventories of services provided by suppliers are maintained.
ID.AM-05,Identify: Asset Management,Assets prioritized,"Assets are prioritized based on classification, criticality, resources, and impact on the mission."
ID.AM-07,Identify: Asset Management,Data inventory maintained,"Inventories of data and corresponding metadata for designated data types are maintained."
ID.AM-08,Identify: Asset Management,Asset life cycle managed,"Systems, hardware, software, services, and data are managed throughout their life cycles."
ID.RA-01,Identify: Risk Assessment,Vulnerabilities identified,Vulnerabilities in assets are identified, validated, and recorded.
ID.RA-02,Identify: Risk Assessment,Threat intelligence received,Cyber threat intelligence is received from information sharing forums and sources.
ID.RA-03,Identify: Risk Assessment,Threats identified,Internal and external threats to the organization are identified and recorded.
ID.RA-04,Identify: Risk Assessment,Impacts and likelihoods identified,Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded.
ID.RA-05,Identify: Risk Assessment,Risk prioritized,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization."
ID.RA-06,Identify: Risk Assessment,Risk responses chosen,"Risk responses are chosen, prioritized, planned, tracked, and communicated."
ID.RA-07,Identify: Risk Assessment,Changes and exceptions managed,"Changes and exceptions are managed, assessed for risk impact, recorded, and tracked."
ID.RA-08,Identify: Risk Assessment,Vulnerability disclosure processes,Processes for receiving, analyzing, and responding to vulnerability disclosures are established.
ID.RA-09,Identify: Risk Assessment,Hardware and software integrity assessed,"The authenticity and integrity of hardware and software are assessed prior to acquisition and use."
ID.RA-10,Identify: Risk Assessment,Suppliers assessed,Critical suppliers are assessed prior to acquisition.
ID.IM-01,Identify: Improvement,Improvements from evaluations,Improvements are identified from evaluations.
ID.IM-02,Identify: Improvement,Improvements from security tests,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties."
ID.IM-03,Identify: Improvement,Improvements from operations,Improvements are identified from execution of operational processes, procedures, and activities.
ID.IM-04,Identify: Improvement,Response and recovery plans maintained,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved."
PR.AA-01,Protect: Identity Management Authentication and Access Control,Identities managed,"Identities and credentials for authorized users, services, and hardware are managed by the organization."
PR.AA-02,Protect: Identity Management Authentication and Access Control,Identities proofed and bound,Identities are proofed and bound to credentials based on the context of interactions.
PR.AA-03,Protect: Identity Management Authentication and Access Control,Users and services authenticated,"Users, services, and hardware are authenticated."
PR.AA-04,Protect: Identity Management Authentication and Access Control,Identity assertions protected,Identity assertions are protected, conveyed, and verified.
PR.AA-05,Protect: Identity Management Authentication and Access Control,Access permissions managed,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties."
PR.AA-06,Protect: Identity Management Authentication and Access Control,Physical access managed,"Physical access to assets is managed, monitored, and enforced commensurate with risk."
PR.AT-01,Protect: Awareness and Training,Personnel awareness training,Personnel are provided with awareness and training so they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind.
PR.AT-02,Protect: Awareness and Training,Specialized role training,Individuals in specialized roles are provided with awareness and training so they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind.
PR.DS-01,Protect: Data Security,Data-at-rest protected,The confidentiality, integrity, and availability of data-at-rest are protected.
PR.DS-02,Protect: Data Security,Data-in-transit protected,The confidentiality, integrity, and availability of data-in-transit are protected.
PR.DS-10,Protect: Data Security,Data-in-use protected,The confidentiality, integrity, and availability of data-in-use are protected.
PR.DS-11,Protect: Data Security,Data backups managed,"Backups of data are created, protected, maintained, and tested."
PR.PS-01,Protect: Platform Security,Configuration management practices,Configuration management practices are established and applied.
PR.PS-02,Protect: Platform Security,Software maintained,Software is maintained, replaced, and removed commensurate with risk.
PR.PS-03,Protect: Platform Security,Hardware maintained,Hardware is maintained, replaced, and removed commensurate with risk.
PR.PS-04,Protect: Platform Security,Log records generated,Log records are generated and made available for continuous monitoring.
PR.PS-05,Protect: Platform Security,Unauthorized software prevented,Installation and execution of unauthorized software are prevented.
PR.PS-06,Protect: Platform Security,Secure software development,Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle.
PR.IR-01,Protect: Technology Infrastructure Resilience,Networks protected,Networks and environments are protected from unauthorized logical access and usage.
PR.IR-02,Protect: Technology Infrastructure Resilience,Environmental threats managed,The organization's technology assets are protected from environmental threats.
PR.IR-03,Protect: Technology Infrastructure Resilience,Resilience mechanisms implemented,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations.
PR.IR-04,Protect: Technology Infrastructure Resilience,Capacity maintained,Adequate resource capacity to ensure availability is maintained.
DE.CM-01,Detect: Continuous Monitoring,Networks monitored,Networks and network services are monitored to find potentially adverse events.
DE.CM-02,Detect: Continuous Monitoring,Physical environment monitored,The physical environment is monitored to find potentially adverse events.
DE.CM-03,Detect: Continuous Monitoring,Personnel activity monitored,"Personnel activity and technology usage are monitored to find potentially adverse events."
DE.CM-06,Detect: Continuous Monitoring,External service providers monitored,External service provider activities and services are monitored to find potentially adverse events.
DE.CM-09,Detect: Continuous Monitoring,Computing assets monitored,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events."
DE.AE-02,Detect: Adverse Event Analysis,Adverse events analyzed,Potentially adverse events are analyzed to better understand associated activities.
DE.AE-03,Detect: Adverse Event Analysis,Event data correlated,Information is correlated from multiple sources.
DE.AE-04,Detect: Adverse Event Analysis,Event impact understood,The estimated impact and scope of adverse events are understood.
DE.AE-06,Detect: Adverse Event Analysis,Event information shared,Information on adverse events is provided to authorized staff and tools.
DE.AE-07,Detect: Adverse Event Analysis,Threat intelligence integrated,"Cyber threat intelligence and other contextual information are integrated into the analysis."
DE.AE-08,Detect: Adverse Event Analysis,Incidents declared,Incidents are declared when adverse events meet the defined incident criteria.
RS.MA-01,Respond: Incident Management,Response plan executed,The incident response plan is executed in coordination with relevant third parties once an incident is declared.
RS.MA-02,Respond: Incident Management,Incident reports triaged,Incident reports are triaged and validated.
RS.MA-03,Respond: Incident Management,Incidents categorized,Incidents are categorized and prioritized.
RS.MA-04,Respond: Incident Management,Incidents escalated,Incidents are escalated or elevated as needed.
RS.MA-05,Respond: Incident Management,Recovery criteria applied,The criteria for initiating incident recovery are applied.
RS.AN-03,Respond: Incident Analysis,Root cause analyzed,Analysis is performed to establish what has taken place during an incident and the root cause of the incident.
RS.AN-06,Respond: Incident Analysis,Investigation actions recorded,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved."
RS.AN-07,Respond: Incident Analysis,Incident data collected,"Incident data and metadata are collected, and their integrity and provenance are preserved."
RS.AN-08,Respond: Incident Analysis,Incident magnitude estimated,An incident's magnitude is estimated and validated.
RS.CO-02,Respond: Incident Response Reporting and Communication,Stakeholders notified,Internal and external stakeholders are notified of incidents.
RS.CO-03,Respond: Incident Response Reporting and Communication,Information shared with stakeholders,Information is shared with designated internal and external stakeholders.
RS.MI-01,Respond: Incident Mitigation,Incidents contained,Incidents are contained.
RS.MI-02,Respond: Incident Mitigation,Incidents eradicated,Incidents are eradicated.
RC.RP-01,Recover: Incident Recovery Plan Execution,Recovery plan executed,The recovery portion of the incident response plan is executed once initiated from the incident response process.
RC.RP-02,Recover: Incident Recovery Plan Execution,Recovery actions selected,"Recovery actions are selected, scoped, prioritized, and performed."
RC.RP-03,Recover: Incident Recovery Plan Execution,Backup integrity verified,The integrity of backups and other restoration assets is verified before using them for restoration.
RC.RP-04,Recover: Incident Recovery Plan Execution,Critical functions restored,"Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms."
RC.RP-05,Recover: Incident Recovery Plan Execution,Restored asset integrity verified,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed."
RC.RP-06,Recover: Incident Recovery Plan Execution,Recovery completion declared,The end of incident recovery is declared based on criteria, and incident-related documentation is completed.
RC.CO-03,Recover: Incident Recovery Communication,Recovery progress communicated,"Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders."
